  0.01    4e-08  9.7e+05 
  0.02  1.7e-07  1.3e+05 
  0.03  3.8e-07  2.6e+04 
  0.04  6.9e-07  8.2e+03 
  0.05  1.1e-06  3.4e+03 
  0.06  1.6e-06  1.6e+03 
  0.07  2.1e-06  8.6e+02 
  0.08  2.8e-06  5.1e+02 
  0.09  3.5e-06  3.1e+02 
  0.10  4.3e-06  2.1e+02 
  0.11  5.3e-06  1.4e+02 
  0.13  6.3e-06       99 
  0.14  7.4e-06       72 
  0.15  8.5e-06       53 
  0.16  9.8e-06       40 
  0.17  1.1e-05       31 
  0.18  1.3e-05       24 
  0.19  1.4e-05       19 
  0.20  1.6e-05       16 
  0.21  1.7e-05       13 
  0.22  1.9e-05       10 
  0.23  2.1e-05      8.7 
  0.24  2.3e-05      7.3 
  0.25  2.5e-05      6.1 
  0.26  2.7e-05      5.2 
  0.27  2.9e-05      4.4 
  0.28  3.2e-05      3.8 
  0.29  3.4e-05      3.3 
  0.30  3.7e-05      2.9 
  0.31  3.9e-05      2.5 
  0.32  4.2e-05      2.2 
  0.33  4.4e-05      1.9 
  0.35  4.7e-05      1.7 
  0.36    5e-05      1.5 
  0.37  5.3e-05      1.3 
  0.38  5.6e-05      1.2 
  0.39  5.9e-05      1.1 
  0.40  6.2e-05     0.96 
  0.41  6.6e-05     0.87 
  0.42  6.9e-05     0.78 
  0.43  7.3e-05     0.71 
  0.44  7.6e-05     0.64 
  0.45    8e-05     0.58 
  0.46  8.3e-05     0.53 
  0.47  8.7e-05     0.49 
  0.48  9.1e-05     0.44 
  0.49  9.5e-05     0.41 
  0.50  9.9e-05     0.37 
  0.51   0.0001     0.34 
  0.52  0.00011     0.32 
  0.53  0.00011     0.29 
  0.54  0.00012     0.27 
  0.55  0.00012     0.25 
  0.57  0.00012     0.23 
  0.58  0.00013     0.22 
  0.59  0.00013      0.2 
  0.60  0.00014     0.19 
  0.61  0.00014     0.17 
  0.62  0.00015     0.16 
  0.63  0.00015     0.15 
  0.64  0.00016     0.14 
  0.65  0.00016     0.13 
  0.66  0.00017     0.12 
  0.67  0.00017     0.12 
  0.68  0.00018     0.11 
  0.69  0.00018      0.1 
  0.70  0.00019    0.096 
  0.71  0.00019    0.091 
  0.72   0.0002    0.085 
  0.73  0.00021    0.081 
  0.74  0.00021    0.076 
  0.75  0.00022    0.072 
  0.76  0.00022    0.068 
  0.77  0.00023    0.064 
  0.79  0.00023    0.061 
  0.80  0.00024    0.057 
  0.81  0.00025    0.054 
  0.82  0.00025    0.052 
  0.83  0.00026    0.049 
  0.84  0.00026    0.046 
  0.85  0.00027    0.044 
  0.86  0.00028    0.042 
  0.87  0.00028     0.04 
  0.88  0.00029    0.038 
  0.89   0.0003    0.036 
  0.90   0.0003    0.034 
  0.91  0.00031    0.033 
  0.92  0.00032    0.031 
  0.93  0.00032     0.03 
  0.94  0.00033    0.028 
  0.95  0.00034    0.027 
  0.96  0.00034    0.026 
  0.97  0.00035    0.025 
  0.98  0.00036    0.024 
  0.99  0.00036    0.023 
  1.01  0.00037    0.022 
  1.02  0.00038    0.021 
  1.03  0.00039     0.02 
  1.04  0.00039    0.019 
  1.05   0.0004    0.018 
