  0.01    1e-08  1.4e+06 
  0.02  4.2e-08  4.1e+05 
  0.03  9.6e-08    1e+05 
  0.04  1.7e-07  3.2e+04 
  0.05  2.7e-07  1.3e+04 
  0.06  3.9e-07  6.4e+03 
  0.07  5.3e-07  3.5e+03 
  0.08  6.9e-07    2e+03 
  0.09  8.8e-07  1.3e+03 
  0.10  1.1e-06  8.2e+02 
  0.11  1.3e-06  5.6e+02 
  0.13  1.6e-06    4e+02 
  0.14  1.8e-06  2.9e+02 
  0.15  2.1e-06  2.1e+02 
  0.16  2.4e-06  1.6e+02 
  0.17  2.8e-06  1.2e+02 
  0.18  3.1e-06       98 
  0.19  3.5e-06       78 
  0.20  3.9e-06       63 
  0.21  4.4e-06       51 
  0.22  4.8e-06       42 
  0.23  5.3e-06       35 
  0.24  5.8e-06       29 
  0.25  6.3e-06       24 
  0.26  6.8e-06       21 
  0.27  7.3e-06       18 
  0.28  7.9e-06       15 
  0.29  8.5e-06       13 
  0.30  9.1e-06       11 
  0.31  9.8e-06       10 
  0.32    1e-05      8.7 
  0.33  1.1e-05      7.7 
  0.35  1.2e-05      6.8 
  0.36  1.3e-05        6 
  0.37  1.3e-05      5.4 
  0.38  1.4e-05      4.8 
  0.39  1.5e-05      4.3 
  0.40  1.6e-05      3.8 
  0.41  1.6e-05      3.5 
  0.42  1.7e-05      3.1 
  0.43  1.8e-05      2.8 
  0.44  1.9e-05      2.6 
  0.45    2e-05      2.3 
  0.46  2.1e-05      2.1 
  0.47  2.2e-05      1.9 
  0.48  2.3e-05      1.8 
  0.49  2.4e-05      1.6 
  0.50  2.5e-05      1.5 
  0.51  2.6e-05      1.4 
  0.52  2.7e-05      1.3 
  0.53  2.8e-05      1.2 
  0.54  2.9e-05      1.1 
  0.55    3e-05        1 
  0.57  3.1e-05     0.93 
  0.58  3.2e-05     0.86 
  0.59  3.3e-05      0.8 
  0.60  3.5e-05     0.75 
  0.61  3.6e-05     0.69 
  0.62  3.7e-05     0.65 
  0.63  3.8e-05     0.61 
  0.64  3.9e-05     0.57 
  0.65  4.1e-05     0.53 
  0.66  4.2e-05      0.5 
  0.67  4.3e-05     0.47 
  0.68  4.5e-05     0.44 
  0.69  4.6e-05     0.41 
  0.70  4.7e-05     0.39 
  0.71  4.9e-05     0.36 
  0.72    5e-05     0.34 
  0.73  5.1e-05     0.32 
  0.74  5.3e-05      0.3 
  0.75  5.4e-05     0.29 
  0.76  5.6e-05     0.27 
  0.77  5.7e-05     0.26 
  0.79  5.9e-05     0.24 
  0.80    6e-05     0.23 
  0.81  6.2e-05     0.22 
  0.82  6.3e-05     0.21 
  0.83  6.5e-05      0.2 
  0.84  6.6e-05     0.19 
  0.85  6.8e-05     0.18 
  0.86  6.9e-05     0.17 
  0.87  7.1e-05     0.16 
  0.88  7.3e-05     0.15 
  0.89  7.4e-05     0.14 
  0.90  7.6e-05     0.14 
  0.91  7.7e-05     0.13 
  0.92  7.9e-05     0.13 
  0.93  8.1e-05     0.12 
  0.94  8.2e-05     0.11 
  0.95  8.4e-05     0.11 
  0.96  8.6e-05      0.1 
  0.97  8.8e-05    0.099 
  0.98  8.9e-05    0.095 
  0.99  9.1e-05    0.091 
  1.01  9.3e-05    0.087 
  1.02  9.5e-05    0.083 
  1.03  9.6e-05     0.08 
  1.04  9.8e-05    0.076 
  1.05   0.0001    0.073 
