  0.01  2.5e-05  3.9e+03 
  0.02   0.0001  2.2e+02 
  0.03  0.00024       42 
  0.04  0.00043       13 
  0.05  0.00067      5.4 
  0.06  0.00097      2.6 
  0.07   0.0013      1.4 
  0.08   0.0017     0.81 
  0.09   0.0022      0.5 
  0.10   0.0027     0.33 
  0.11   0.0033     0.22 
  0.13   0.0039     0.16 
  0.14   0.0046     0.11 
  0.15   0.0053    0.085 
  0.16   0.0061    0.065 
  0.17    0.007     0.05 
  0.18   0.0079    0.039 
  0.19   0.0088    0.031 
  0.20   0.0098    0.025 
  0.21    0.011     0.02 
  0.22    0.012    0.017 
  0.23    0.013    0.014 
  0.24    0.014    0.012 
  0.25    0.016   0.0098 
  0.26    0.017   0.0083 
  0.27    0.018   0.0071 
  0.28     0.02   0.0061 
  0.29    0.021   0.0053 
  0.30    0.023   0.0046 
  0.31    0.024    0.004 
  0.32    0.026   0.0035 
  0.33    0.028   0.0031 
  0.35     0.03   0.0027 
  0.36    0.031   0.0024 
  0.37    0.033   0.0021 
  0.38    0.035   0.0019 
  0.39    0.037   0.0017 
  0.40    0.039   0.0015 
  0.41    0.041   0.0014 
  0.42    0.043   0.0013 
  0.43    0.045   0.0011 
  0.44    0.048    0.001 
  0.45     0.05  0.00093 
  0.46    0.052  0.00085 
  0.47    0.054  0.00078 
  0.48    0.057  0.00071 
  0.49    0.059  0.00065 
  0.50    0.062   0.0006 
  0.51    0.064  0.00055 
  0.52    0.067  0.00051 
  0.53     0.07  0.00047 
  0.54    0.072  0.00043 
  0.55    0.075   0.0004 
  0.57    0.078  0.00037 
  0.58    0.081  0.00034 
  0.59    0.083  0.00032 
  0.60    0.086   0.0003 
  0.61    0.089  0.00028 
  0.62    0.092  0.00026 
  0.63    0.095  0.00024 
  0.64    0.099  0.00023 
  0.65      0.1  0.00021 
  0.66      0.1   0.0002 
  0.67     0.11  0.00019 
  0.68     0.11  0.00017 
  0.69     0.11  0.00016 
  0.70     0.12  0.00015 
  0.71     0.12  0.00015 
  0.72     0.12  0.00014 
  0.73     0.13  0.00013 
  0.74     0.13  0.00012 
  0.75     0.14  0.00011 
  0.76     0.14  0.00011 
  0.77     0.14   0.0001 
  0.79     0.15  9.7e-05 
  0.80     0.15  9.2e-05 
  0.81     0.15  8.7e-05 
  0.82     0.16  8.3e-05 
  0.83     0.16  7.8e-05 
  0.84     0.17  7.4e-05 
  0.85     0.17  7.1e-05 
  0.86     0.17  6.7e-05 
  0.87     0.18  6.4e-05 
  0.88     0.18  6.1e-05 
  0.89     0.19  5.8e-05 
  0.90     0.19  5.5e-05 
  0.91     0.19  5.3e-05 
  0.92      0.2    5e-05 
  0.93      0.2  4.8e-05 
  0.94     0.21  4.6e-05 
  0.95     0.21  4.4e-05 
  0.96     0.21  4.2e-05 
  0.97     0.22    4e-05 
  0.98     0.22  3.8e-05 
  0.99     0.23  3.6e-05 
  1.01     0.23  3.5e-05 
  1.02     0.24  3.3e-05 
  1.03     0.24  3.2e-05 
  1.04     0.25  3.1e-05 
  1.05     0.25  2.9e-05 
