  0.01    1e-06  9.2e+04 
  0.02  4.2e-06  5.5e+03 
  0.03  9.6e-06  1.1e+03 
  0.04  1.7e-05  3.3e+02 
  0.05  2.7e-05  1.3e+02 
  0.06  3.9e-05       64 
  0.07  5.3e-05       35 
  0.08  6.9e-05       20 
  0.09  8.8e-05       13 
  0.10  0.00011      8.2 
  0.11  0.00013      5.6 
  0.13  0.00016        4 
  0.14  0.00018      2.9 
  0.15  0.00021      2.1 
  0.16  0.00024      1.6 
  0.17  0.00028      1.2 
  0.18  0.00031     0.98 
  0.19  0.00035     0.78 
  0.20  0.00039     0.63 
  0.21  0.00044     0.51 
  0.22  0.00048     0.42 
  0.23  0.00053     0.35 
  0.24  0.00058     0.29 
  0.25  0.00063     0.24 
  0.26  0.00068     0.21 
  0.27  0.00073     0.18 
  0.28  0.00079     0.15 
  0.29  0.00085     0.13 
  0.30  0.00091     0.11 
  0.31  0.00098      0.1 
  0.32    0.001    0.087 
  0.33   0.0011    0.077 
  0.35   0.0012    0.068 
  0.36   0.0013     0.06 
  0.37   0.0013    0.054 
  0.38   0.0014    0.048 
  0.39   0.0015    0.043 
  0.40   0.0016    0.038 
  0.41   0.0016    0.035 
  0.42   0.0017    0.031 
  0.43   0.0018    0.028 
  0.44   0.0019    0.026 
  0.45    0.002    0.023 
  0.46   0.0021    0.021 
  0.47   0.0022    0.019 
  0.48   0.0023    0.018 
  0.49   0.0024    0.016 
  0.50   0.0025    0.015 
  0.51   0.0026    0.014 
  0.52   0.0027    0.013 
  0.53   0.0028    0.012 
  0.54   0.0029    0.011 
  0.55    0.003     0.01 
  0.57   0.0031   0.0093 
  0.58   0.0032   0.0086 
  0.59   0.0033    0.008 
  0.60   0.0035   0.0075 
  0.61   0.0036   0.0069 
  0.62   0.0037   0.0065 
  0.63   0.0038   0.0061 
  0.64   0.0039   0.0057 
  0.65   0.0041   0.0053 
  0.66   0.0042    0.005 
  0.67   0.0043   0.0047 
  0.68   0.0045   0.0044 
  0.69   0.0046   0.0041 
  0.70   0.0047   0.0039 
  0.71   0.0049   0.0036 
  0.72    0.005   0.0034 
  0.73   0.0051   0.0032 
  0.74   0.0053    0.003 
  0.75   0.0054   0.0029 
  0.76   0.0056   0.0027 
  0.77   0.0057   0.0026 
  0.79   0.0059   0.0024 
  0.80    0.006   0.0023 
  0.81   0.0062   0.0022 
  0.82   0.0063   0.0021 
  0.83   0.0065    0.002 
  0.84   0.0066   0.0019 
  0.85   0.0068   0.0018 
  0.86   0.0069   0.0017 
  0.87   0.0071   0.0016 
  0.88   0.0073   0.0015 
  0.89   0.0074   0.0014 
  0.90   0.0076   0.0014 
  0.91   0.0077   0.0013 
  0.92   0.0079   0.0013 
  0.93   0.0081   0.0012 
  0.94   0.0082   0.0011 
  0.95   0.0084   0.0011 
  0.96   0.0086    0.001 
  0.97   0.0088  0.00099 
  0.98   0.0089  0.00095 
  0.99   0.0091  0.00091 
  1.01   0.0093  0.00087 
  1.02   0.0095  0.00083 
  1.03   0.0096   0.0008 
  1.04   0.0098  0.00076 
  1.05     0.01  0.00073 
